"x","y","z","cellNum","majorBoard","minorBoard","minBoardWon"
1,1,-1,NA,1,NA,FALSE
2,1,-1,NA,1,NA,FALSE
3,1,-1,NA,1,NA,FALSE
4,1,-1,NA,1,NA,FALSE
5,1,-1,NA,1,NA,FALSE
6,1,-1,NA,2,NA,FALSE
7,1,-1,NA,2,NA,FALSE
8,1,-1,NA,2,NA,FALSE
9,1,-1,NA,2,NA,FALSE
10,1,-1,NA,2,NA,FALSE
11,1,-1,NA,3,NA,FALSE
12,1,-1,NA,3,NA,FALSE
13,1,-1,NA,3,NA,FALSE
14,1,-1,NA,3,NA,FALSE
15,1,-1,NA,3,NA,FALSE
1,2,-1,NA,1,NA,FALSE
2,2,3,1,1,1,FALSE
3,2,3,2,1,2,FALSE
4,2,3,3,1,3,FALSE
5,2,-1,NA,1,NA,FALSE
6,2,-1,NA,2,NA,FALSE
7,2,3,4,2,1,FALSE
8,2,3,5,2,2,FALSE
9,2,3,6,2,3,FALSE
10,2,-1,NA,2,NA,FALSE
11,2,-1,NA,3,NA,FALSE
12,2,3,7,3,1,FALSE
13,2,3,8,3,2,FALSE
14,2,3,9,3,3,FALSE
15,2,-1,NA,3,NA,FALSE
1,3,-1,NA,1,NA,FALSE
2,3,3,10,1,4,FALSE
3,3,3,11,1,5,FALSE
4,3,3,12,1,6,FALSE
5,3,-1,NA,1,NA,FALSE
6,3,-1,NA,2,NA,FALSE
7,3,3,13,2,4,FALSE
8,3,3,14,2,5,FALSE
9,3,3,15,2,6,FALSE
10,3,-1,NA,2,NA,FALSE
11,3,-1,NA,3,NA,FALSE
12,3,3,16,3,4,FALSE
13,3,3,17,3,5,FALSE
14,3,3,18,3,6,FALSE
15,3,-1,NA,3,NA,FALSE
1,4,-1,NA,1,NA,FALSE
2,4,3,19,1,7,FALSE
3,4,3,20,1,8,FALSE
4,4,3,21,1,9,FALSE
5,4,-1,NA,1,NA,FALSE
6,4,-1,NA,2,NA,FALSE
7,4,3,22,2,7,FALSE
8,4,3,23,2,8,FALSE
9,4,3,24,2,9,FALSE
10,4,-1,NA,2,NA,FALSE
11,4,-1,NA,3,NA,FALSE
12,4,3,25,3,7,FALSE
13,4,3,26,3,8,FALSE
14,4,3,27,3,9,FALSE
15,4,-1,NA,3,NA,FALSE
1,5,-1,NA,1,NA,FALSE
2,5,-1,NA,1,NA,FALSE
3,5,-1,NA,1,NA,FALSE
4,5,-1,NA,1,NA,FALSE
5,5,-1,NA,1,NA,FALSE
6,5,-1,NA,2,NA,FALSE
7,5,-1,NA,2,NA,FALSE
8,5,-1,NA,2,NA,FALSE
9,5,-1,NA,2,NA,FALSE
10,5,-1,NA,2,NA,FALSE
11,5,-1,NA,3,NA,FALSE
12,5,-1,NA,3,NA,FALSE
13,5,-1,NA,3,NA,FALSE
14,5,-1,NA,3,NA,FALSE
15,5,-1,NA,3,NA,FALSE
1,6,-1,NA,4,NA,FALSE
2,6,-1,NA,4,NA,FALSE
3,6,-1,NA,4,NA,FALSE
4,6,-1,NA,4,NA,FALSE
5,6,-1,NA,4,NA,FALSE
6,6,-1,NA,5,NA,FALSE
7,6,-1,NA,5,NA,FALSE
8,6,-1,NA,5,NA,FALSE
9,6,-1,NA,5,NA,FALSE
10,6,-1,NA,5,NA,FALSE
11,6,-1,NA,6,NA,FALSE
12,6,-1,NA,6,NA,FALSE
13,6,-1,NA,6,NA,FALSE
14,6,-1,NA,6,NA,FALSE
15,6,-1,NA,6,NA,FALSE
1,7,-1,NA,4,NA,FALSE
2,7,3,28,4,1,FALSE
3,7,3,29,4,2,FALSE
4,7,3,30,4,3,FALSE
5,7,-1,NA,4,NA,FALSE
6,7,-1,NA,5,NA,FALSE
7,7,3,31,5,1,FALSE
8,7,3,32,5,2,FALSE
9,7,3,33,5,3,FALSE
10,7,-1,NA,5,NA,FALSE
11,7,-1,NA,6,NA,FALSE
12,7,3,34,6,1,FALSE
13,7,3,35,6,2,FALSE
14,7,3,36,6,3,FALSE
15,7,-1,NA,6,NA,FALSE
1,8,-1,NA,4,NA,FALSE
2,8,3,37,4,4,FALSE
3,8,3,38,4,5,FALSE
4,8,3,39,4,6,FALSE
5,8,-1,NA,4,NA,FALSE
6,8,-1,NA,5,NA,FALSE
7,8,3,40,5,4,FALSE
8,8,3,41,5,5,FALSE
9,8,3,42,5,6,FALSE
10,8,-1,NA,5,NA,FALSE
11,8,-1,NA,6,NA,FALSE
12,8,3,43,6,4,FALSE
13,8,3,44,6,5,FALSE
14,8,3,45,6,6,FALSE
15,8,-1,NA,6,NA,FALSE
1,9,-1,NA,4,NA,FALSE
2,9,3,46,4,7,FALSE
3,9,3,47,4,8,FALSE
4,9,3,48,4,9,FALSE
5,9,-1,NA,4,NA,FALSE
6,9,-1,NA,5,NA,FALSE
7,9,3,49,5,7,FALSE
8,9,3,50,5,8,FALSE
9,9,3,51,5,9,FALSE
10,9,-1,NA,5,NA,FALSE
11,9,-1,NA,6,NA,FALSE
12,9,3,52,6,7,FALSE
13,9,3,53,6,8,FALSE
14,9,3,54,6,9,FALSE
15,9,-1,NA,6,NA,FALSE
1,10,-1,NA,4,NA,FALSE
2,10,-1,NA,4,NA,FALSE
3,10,-1,NA,4,NA,FALSE
4,10,-1,NA,4,NA,FALSE
5,10,-1,NA,4,NA,FALSE
6,10,-1,NA,5,NA,FALSE
7,10,-1,NA,5,NA,FALSE
8,10,-1,NA,5,NA,FALSE
9,10,-1,NA,5,NA,FALSE
10,10,-1,NA,5,NA,FALSE
11,10,-1,NA,6,NA,FALSE
12,10,-1,NA,6,NA,FALSE
13,10,-1,NA,6,NA,FALSE
14,10,-1,NA,6,NA,FALSE
15,10,-1,NA,6,NA,FALSE
1,11,-1,NA,7,NA,FALSE
2,11,-1,NA,7,NA,FALSE
3,11,-1,NA,7,NA,FALSE
4,11,-1,NA,7,NA,FALSE
5,11,-1,NA,7,NA,FALSE
6,11,-1,NA,8,NA,FALSE
7,11,-1,NA,8,NA,FALSE
8,11,-1,NA,8,NA,FALSE
9,11,-1,NA,8,NA,FALSE
10,11,-1,NA,8,NA,FALSE
11,11,-1,NA,9,NA,FALSE
12,11,-1,NA,9,NA,FALSE
13,11,-1,NA,9,NA,FALSE
14,11,-1,NA,9,NA,FALSE
15,11,-1,NA,9,NA,FALSE
1,12,-1,NA,7,NA,FALSE
2,12,3,55,7,1,FALSE
3,12,3,56,7,2,FALSE
4,12,3,57,7,3,FALSE
5,12,-1,NA,7,NA,FALSE
6,12,-1,NA,8,NA,FALSE
7,12,3,58,8,1,FALSE
8,12,3,59,8,2,FALSE
9,12,3,60,8,3,FALSE
10,12,-1,NA,8,NA,FALSE
11,12,-1,NA,9,NA,FALSE
12,12,3,61,9,1,FALSE
